monument,location,Description,start_from,end_at,tickets_price
The Tomb of Hem Min,El Hawawish,"The tomb of Hem-Min (the servant of the deity Mini) dates to the reign of King Teti (2345-2323 BC), it is one of the largest tomb in al-Hawawish cemetery, and perhaps one of the largest rock-cut tombs in known in Old Kingdom, which confirms the importance of its owner ""Hem-Min"" the Overseer of Upper Egypt.  As he was undoubtedly the most powerful man of his time in the southern part of the country.
Architecturally also, this tomb is exceptional. It is situated in the south bend of the mountain, at a height of 193 meters. In the cemetery, 11 vertical wells have been cut in, in addition to two sloping wells in the northern half of the courtyard, all connected to the burial chambers of the owner of the tomb and his family.
Hem-Min also held other titles, such as ‘Overseer of the great court of justice’, ‘Greatest of the ten of Upper Egypt’, and ‘Priest of Maat’. His wife was an ‘Acquaintance of the King’, and a ‘Priestess of Hathor’.",09:00 AM,04:00 PM,Free
The Tomb of Ka Hep / Theti Iker,El Hawawish,"The tomb of “Ka Hep” dates to the reign of Pepy II during the sixth Dynasty (2278-2184 BC); it is located at the southwest corner of the al-Hawawish tombs and is distinguished by its height compared to the other adjoining  tombs. Additionally, it contains scenes of daily life, offerings, funerary rites, dancing, hunting and agriculture.
The tomb's facade is distinguished by inscriptions representing the titles of Ka Hep and scenes of the tomb owner  next to his wife. While the southern wall is etched with a scene that shows boats carrying the funeral’s furniture. Another scene represents the owner in a fishing boat, catching two large fish, while his wife is in a squatted position holding two lotus plants. Behind them, there are five members of the family, two men and three women.",07:00 AM,05:00 PM,Free
The Tomb of Nehwet Desher /Meri,El Hawawish,"This tomb is located at the southernmost end of the western slope of the mountain.  It lies at a height of 196.5 meters. The tomb is dated  to the beginning or middle of King Pepi II’s reign (2278-2184 B.C).
Nehwet Desher, also called Meri, held many titles such as, ‘Overseer of Priests', ‘Privy to the secret of the god's treasure', ‘Great Overlord of the Province', a’Attendant of Min’, ‘Sole companion’, and ‘Treasurer of the king of Lower Egypt’. His wife Isi  also held the titles of ‘A cquaintance of the King', 'Priestess of Hathor, lady of the sycamores'.
Shepsipumin was his eldest son and it was recorded that he was the one who decorated the tomb himself.",07:00 AM,05:00 PM,Free
Isis Temple,Aswan,"The Temple of Isis is located on the eastern bank of Aswan Governorate, next to the eastern fence of the city. Part of the temple was built during the reigns of Ptolemy III and Ptolemy IV but was later on converted into a church, most likely to venerate Saint Mary. The temple is one of the most important archaeological discoveries due to the fact that it was found preserved in great conditions since its discovery in 1871. The temple remains standing tall with its four magnificent walls and roof with distinctive granite panels.
There are two entrances to the temple on the western side; where the main entrance is located in the middle of the facade and the other at the far left of the main entrance. Towards the back wall of the main hall of the temple, one can admire the wonderful scenes depicting the king making offerings to the gods (Satet - Anqet - Khnum) known as the Aswan trinity. During the restoration work of the mission, numerous Coptic inscriptions were revealed, as well as a rare architectural drawing illustrating the original layout of the temple on the walls. This can all be admired in addition to the remains of Roman and Islamic brick dwellings.
In the middle of the temple's façade is the majestic main gate, decorated with colorful scenes and texts, and above which one can find the winged sun disk featured in the middle. The entrance leads to a transverse hall containing three rooms in the middle of the hall of the Holy of Holies.
The Chamber of the Holy of Holies is located in the middle of the temple accessible through an entrance topped by the winged sun disk. In addition, it is decorated with a series of wonderful scenes, some of which illustrate beer being served to Isis, whilst other ones represent the goddess Maat being presented to the god Khnum, as well as another scene depicting pure water being poured on the goddess Isis.
to download A Guide to Aswan click here!",07:00 AM,04:00 PM,"FOREIGNERS:
Adult: EGP 150 / Student: EGP 75

EGYPTIANS:
Adult: EGP 10 / Student: EGP 5"
Imam al-Shafi’i Mosque,Al-Fustat (Old Cairo),"It was built by Abd al-Rahman Katkhuda in the year (1176 AH / 1762 AD) and remained unchanged until Khedive Tawfiq ordered to renew it. After Khedive Tawfiq, Khedive Abbas Helm II finished the construction of the mosque. The mosque has a minaret that similar to the Mamluk style minarets. It contains also a minbar (pulpit) made out of wood and inlaid with ivory and ebony.
 ",09:00 AM,04:00 PM,It's free of charge
House of Gamal al-Din al-Dhahabi,Cairo,"This house is attributed to Gamal al-Din al-Dhahabi (Shah Bandar al-Tujjar), meaning the chief merchant, who built it in 1047 AH / 1637 AD in the Khashqadam lane in al-Ghuriyya neighbourhood. House of Gamal al-Din al-Dhahabi reflects the development of residential house architecture in the Ottoman era in Egypt.
The house has three stone façades, while the house building itself consists of a ground floor and two floors. The ground floor includes a group of storerooms and shops overlooking the Khushqadam and the Hammam lane, which were used as warehouses and guard rooms.  The entrance to the house also leads to a large courtyard with a fountain in the middle, in addition to a small hall, another small courtyard, bathrooms, and stairs ascending to the upper floors.
While the first floor includes two main sections:  They are the salamlek and the haramlek, as the salamlek contains (the maq’ad (loggia), the bathroom, and the upper hall), while the haramlek contains the women’s halls.  As for the second floor, we find that it contains three large rooms above the small lower hall.",09:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP 30 / Student: EGP 15

EGYPTIANS:
Adults: EGP 10 / Student: EGP 5"
Madrasa of Sultan al-Ashraf Barsbay,Al-Mu'izz Street,"The Mamluk sultan al-Ashraf Sayf al-Din Barsbay (825-841 AH / 1422-1437 AD) established this madrasa in 829 AH / 1425 AD.  The madrasa taught the four schools of Islamic jurisprudence and Sufism, and also served as a mosque.
A band of text inscribed with the details of the endowment deed runs along the interior wall.
This madrassa follows the famous perpendicular layout in Islamic religious buildings, as it consists of a rectangular area with an open courtyard in the middle surrounded by four iwans, the largest and deepest of which is iwan al-qibla.
A Mausoleum was attached to the madrasssa in its northeast corner, next to iwan al-qibla.
The mausoleum contains two burials, one for one of the sultan’s wives and the other for his son, Muhammad ibn Barsbay. The sultan himself was buried in his burial complex in the Mamluk cemetery, in the east of Cairo. A sabil (public drinking fountain) to provide water to passers-by and a kuttab (Quranic school) to teach Muslims how to read and write and recite the Quran are attached to the madrasa.",Not Available,Not Available,Free
Luxor Temple,Luxor,"Luxor Temple, Ipet-resyt “Southern Sanctuary” to the ancient Egyptians, was so called because of its location within ancient Thebes (modern Luxor). It is located around three kilometers to the south of Karnak Temple, to which it was once linked with a processional way bordered with sphinxes. The oldest evidence for this temple dates to the Eighteenth Dynasty (c.1550–1295 BC).
 Ipet-resyt, unlike most other ancient Egyptian temples, is not laid out on an east-west axis, but is oriented towards Karnak. This is because Luxor Temple was the main venue for one the most important of ancient Egyptian religious celebrations, when the cult images of Amun, his wife Mut, and their son, the lunar god Khonsu, were taken from their temples in Karnak, and transported in a grand procession to Luxor Temple so they could visit the god that resides there, Amenemopet. This was the Opet Festival.
Luxor Temple was not built by one single ruler. The oldest existing structure, a shrine, dates to the reign of Hatshepsut (c.1473–1458 BC). The core of the temple was built by Amenhotep III (c.1390–1352 BC). One of the inner rooms contains a series of scenes that are known as the Divine Birth. They tell the amazing story of how the king’s true father was none other than the god Amun-Ra himself, disguised as Thutmose IV (c.1400–1390 BC). The core of the temple is preceded by a columned hall fronted by a courtyard with columns around its perimeter. Amenhotep III also built the Great Colonnade, which consists of two rows of seven colossal columns. Its decoration, most notably the scenes depicting the Opet Festival, were completed by Tutankhamun (c.1336–1327 BC) and Horemheb (c.1323–1295 BC).
Ramesses II (c.1279–1213 BC) made many additions to Luxor Temple. In front of the Great Colonnade, he built a peristyle courtyard and a massive pylon, a gate with two towers that formed the entrance into temples. In addition to many colossal statues, the pylon was also fronted by a pair of 25-meter-high obelisks made by this great king, but only one remains in place; the other has been at the Place de la Concorde in Paris since 1836.
 In the late third century AD, the Romans built a fort around the temple, and the first room beyond the hypostyle hall of Amenhotep III became its sanctuary. The original wall reliefs were covered with plaster, and painted in the Graeco-Roman artistic style, depicting Emperor Diocletian (284–305 AD) and his three coregents. Although these  had largely disappeared, efforts are under way to restore these reliefs to their former glory.",06:00 AM,08:00 PM,"FOREIGNERS:
Adult: EGP 500/ Student: EGP 250

EGYPTIANS:
Adult: EGP 40 / Student: EGP 20"
Hatshepsut Temple,Deir al-Bahari,"Hatshepsut (c.1473–1458 BC), the queen who became pharaoh, built a magnificent temple at Deir al-Bahari, on the west back of Luxor. It lies directly across the Nile from Karnak Temple, the main sanctuary of the god Amun. Hatshepsut’s temple, Djeser-djeseru “the Holy of Holies” was designed by the chief steward of Amun, Senenmut.
The temple consists of three levels each of which has a colonnade at its far end. On the uppermost level, an open courtyard lies just beyond the portico. Mummiform statues of Hatshepsut as Osiris, the god of the dead, lean against its pillars.
This is because Djeser-djeseru is Hatshepsut’s mortuary temple, where her cult was practiced after her death, when she attained the blessed state of Osiris. Far from being devoted solely to her, the temple also includes sections for the cults of her revered father Thutmose I, the goddess Hathor, and the funerary god Anubis. An altar, open to the sky and the sun, was dedicated to the cult of the solar Ra-Horakhty. Pride of place was given to Amun. At the far end of the upper courtyard, on the temple’s central axis, a passage cut directly into the living rock culminates in his sanctuary.
The temple’s walls are covered with beautiful painted reliefs depicting temple rituals, religious festivals, and even the transportation of obelisks from the quarry to their destination in Karnak Temple. Perhaps most interesting are the reliefs in the portico on the so-called Middle Platform. The decorative programme on the left side depicts Hatshepsut’s expedition to Punt, believed to be located near modern Eritrea. The inhabitants of this land, their dwellings, and surrounding environment are vividly recorded, as are the riches and exotic animals that the Egyptians brought back with them. On the other side of the portico, Hatshepsut relates how she is the rightful king of Egypt. She does this not only by claiming that her father Thutmose I had designated her as his heir, but by stating that her true father was none other than the god Amun himself.",06:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP 440 / Student: EGP 220

EGYPTIANS:
Adults: EGP 40/ Student: EGP 20"
Tomb of Tutankhamun,Valley of the Kings,"The tomb of the Eighteenth Dynasty king Tutankhamun (c.1336–1327 BC) is world-famous because it is the only royal tomb from the Valley of the Kings that was discovered relatively intact. Its discovery in 1922 by Howard Carter made headlines worldwide, and continued to do so as the golden artifacts and other luxurious objects discovered in this tomb were being brought out. The tomb and its treasures are iconic of Egypt, and the discovery of the tomb is still considered one of the most important archaeological discoveries to date.
Despite the riches it contained, the tomb of Tutankhamun, number 62 in the Valley of the Kings, is in fact quite modest compared to the other tombs on this site, in both size and decoration. This is most likely due to Tutankhamun having come to the throne very young, and even then ruling for only around nine years in total. One can wonder at what riches the much larger tombs of the most powerful kings of the New Kingdom, such as Hatshepsut, Thutmose III, Amenhotep III, and Ramesses II once contained.
Only the walls of the burial chamber bear any decoration. Unlike most previous and later royal tombs, which are richly decorated with funerary texts like the Amduat or Book of Gates, which helped the deceased king reach the afterlife, only a single scene from the Amduat is represented in the tomb of Tutankhamun. The rest of the decoration of the tomb depicts either the funeral, or Tutankhamun in the company of various deities.
This small size of the tomb of Tutankhamun (KV62) has led to much speculation. When his successor, the high official Ay, died, he was buried in a tomb (KV23), which may have been originally intended for Tutankhamun, but which had not yet been completed at the time of the death of the young king. The same argument has been made in turn for the tomb of Ay’s successor, Horemheb (KV57). If so, it is unclear for whom the eventual tomb of Tutankhamun, KV62, was carved, but it has been argued that it existed already, either as a private tomb or as a storage area, that was subsequently enlarged to receive the king.
Whatever the reason, the small size of the tomb meant that the approximately 5000 artefacts that were discovered inside were stacked very tightly. These reflect the lifestyle of the royal palace, and included objects that Tutankhamun would have used in his daily life, such as clothes, jewelry, cosmetics, incense, furniture, chairs, toys, vessels made of a variety of materials, chariots, and weapons.
It is one of history’s great ironies that Tutankhamun, a relatively minor king who was erased from history because he was related to the unpopular King Akhenaten, has come to surpass many of Egypt’s greatest rulers in fame.",06:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 700/ Student: EGP 350

EGYPTIANS:
Adult: EGP 40 / Student: EGP 20"
Tomb of Sety I (KV17),Valley of the Kings,"The tomb of Sety I is one of the longest, deepest, and most beautifully decorated tombs in the Valley of the Kings. Sety I (c.1294–1279 BC) was the second king of the Nineteenth Dynasty, and father of Ramesses II (the Great). His tomb, number 17 in the Valley of the Kings, is sometimes called “Belzoni’s tomb” after its discoverer.
 Like the other tombs in the Valley of the Kings, the tomb of Sety I is decorated with various funerary texts, the aim of which was to ensure his successful transition to the afterlife. The tomb of Sety I was the first tomb in the Valley of the Kings to be entirely decorated. The elegant painted scenes and reliefs are of the exquisite quality that the reign of Sety I is so well known for. The funerary texts attested there are the Litany of Re, Amduat, and Book of Gates, in addition to the Book of the Divine Cow and the gorgeous astronomical scenes decorating the ceiling of his burial chamber, simulating the night sky.
 Architecturally, the tomb of Sety I falls under the “joggled axis” type characteristic of his period. The first series of corridors and descending passageways terminate into the first pillared room, where, in the facing wall, but off-axis, another series of descending passageways cut into the floor of the room lead to the burial chamber. The tomb does feature a number of new and unique characteristics. Along the same axis of the first series of corridors and descending passageways, a doorway leads into a single room. This may have been intended to lead intruders to believe that this was the actual burial chamber. The tomb of Sety I is also the first tomb to possess a burial chamber with a vaulted ceiling. Perhaps most interesting of all is that the passage begins on the floor of the burial chamber, descending even further, deep into the earth. It is believed that this was intended to ritually connect the tomb of Sety I with the primeval and regenerative powers of the underworld.
In 1821, painted recreations of several rooms from the tomb of Sety I were displayed in the Egyptian Hall in Piccadilly in London. This exhibition, put together by the discoverer of the tomb, Giovanni Battista Belzoni, made an ancient Egyptian tomb available to various members of the public. It captured people’s imagination, and is one of the first monuments responsible for attracting popular attention to ancient Egypt.",06:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 2000/ Student: EGP 2000

EGYPTIANS:
Adult: EGP 500 / Student: EGP 250"
Tomb of Ramesses VI (KV9),Valley of the Kings,"This tomb was begun by King Ramesses V (c.1147–1143 BC) of the Twentieth Dynasty. Although it is uncertain whether he was ultimately buried here, it is clear that his uncle Ramesses VI (c.1143–1136 BC) enlarged the tomb and used it for his burial.
The tomb is simple in plan, essentially consisting of a series of descending corridors that lead deep underground, in a straight line to the burial chamber. The exquisitely painted sunk relief walls are very well preserved.
The tomb’s decorative programme consists of various funerary texts to help the king in his successful transition to the afterlife. The first descending passages are decorated with the Book of Gates, Book of Caverns, and Books of the Heavens, ancient Egyptian books of the afterlife. The passages beyond bear scenes from the Amduat, the Book of the Dead, and the Books of the Heavens, and scenes from the Book of the Earth adorn the burial chamber. All ceilings are decorated with astronomical scenes and texts. Some of these funerary texts are collections of spells, and others are maps of the underworld, describing the sun god’s daily nocturnal journey through it. Through them, just like the sun god, the king could achieve a glorious rebirth in the eastern horizon at dawn.",06:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP 220/ Student: EGP 110

EGYPTIANS:
Adults: EGP 30 / Student: EGP 10"
Temple of Dendera,Qena,"Hathor was among the most important and popular deities in ancient Egypt. She was associated with music, joy, dance and motherhood; she was also known as the lady of the sky. Her main cult center was at Dendera where one of the best-preserved temples in Egypt stands today. The entrance of the temple, with six massive columns surmounted with the head of Hathor, is considered among the most beautiful monuments in Egypt. Sistrums (a musical instrument) closely associated with the goddess, frame her head.
The temple of Dendera dates back to the Ptolemaic Period, although evidence points to older structures once existing on the site, dating as far back as king Pepy I, from the Old Kingdom. Among the temple’s most notable features are astronomical engravings on its ceiling.",07:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 300/ Student: EGP 150
Temple panorama: EGP 100
Temple serdab: EGP 100

EGYPTIANS:
Adult: EGP 20/ Student: EGP 10
Temple panorama: EGP 20
Temple serdab: EGP 50

Cars ticket:
Car& Taxi: EGP25 / Micro-bus: EGP50 /Coaster: EGP75/ Bus: EGP100"
The Red Monastery,Sohag,"The Red Monastery is located 21 kilometres west of Sohag province. It is considered one of the most important monasteries established during Christianity’s early history. Because of the red bricks that make up most of its masonry, it is known as the Red Monastery. White limestone was employed in the building’s construction as well as were several pink and black granite columns.
The monastery was founded by Saint Bishoy in the beginning of the fourth century AD, but suffered of two fires, the first was during the Roman Period, and the second was as a result of Berber attacks.
All that remains of the Red Monastery is its church and surrounding fortification walls to the south. Remains of a structure north of the church also survived and are thought to belong to an industrial area.
The main church is composed of a long rectangular space composed of three wings. The middle wing is the largest of the three. A church known as the “Church of the Virgin Mary” is attached to its south-west corner. On its eastern end, the monastery’s church terminates in a tripartite structure decorated with murals done with tempera paint depicting Biblical scenes that include Jesus Christ, the Virgin Mary, the Four Gospels, and the Apostles.
The fort occupies the area south of the church, to which its structures are attached. It likely dates to the reign of Empress Helena.
It is a roughly square building that consists of four floors, the ground and first floors of baked bricks, and the top two of simple sun-dried mud brick. The fort itself contains several units that allowed the monks to reside in it for long stretches of time, including a church, cells, a storage room, and a water source.",09:00 AM,05:00 PM,Free
The Great Pyramid,Giza Plateau,"The Great Pyramid, the tomb of King Khufu (c.2589–2566 BC), with its original height of 146.5 meters, was the tallest structure in the world for 3,800 years. It remains the last surviving member of the Seven Wonders of the Ancient World, and took an estimated 10 to 20 years to build. To this day, it is not entirely certain how this was done.
The Great Pyramid is made of local limestone, but its exterior was once entirely covered with high quality limestone. These casing stones were brought from Turah, south of Maadi, by ship. On the inside, the pyramid has three chambers, one cut into the bedrock underneath, and two high up within the masonry itself, a feature that no other pyramid possesses. The sarcophagus in which Khufu was once laid to rest can still be seen in the upper of these two rooms, the King’s Chamber. This room is accessed through the Grand Gallery, a majestic corbelled ascending passage, and a masterpiece of ancient engineering and architecture.
Two large and impressive ships were discovered in pits on the south side of the pyramid in a dismantled state. These are believed to have been used to transport the royal mummy and burial equipment to the tomb.",07:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 1000/ Student: EGP 500
AREA ENTRY TICKET REQUIRED

EGYPTIANS:
Adult: EGP 100 / Student: EGP 50
AREA ENTRY TICKET REQUIRED"
Pyramid Complex of Khafre (Khefren),Giza Plateau,"Khafre (c.2558–2532 BC), whom the ancient Greeks knew as Khefren, was a son of King Khufu (Cheops), the builder of the Great Pyramid. He built the second pyramid complex at Giza, and constructed his tomb on slightly higher ground, making it appear just as tall as his father’s. At 143.5 meters in height, however, his pyramid is only slightly shorter, and a tremendously impressive monument. Its core masonry is made of blocks of local limestone. The top of the pyramid still preserves the beautifully polished blocks of high-quality limestone that once encased the majority of the structure’s towering height. This white stone was quarried in Turah, south of Maadi, and transported here by ship.
The mortuary temple of Khafre at the foot of his pyramid and the valley temple at the end of the causeway are larger than any of those of older pyramids, and also among the best preserved of the Old Kingdom. Another development in the reign of Khafre is the complexity of their layout, with the elements constituting his mortuary temple becoming the new standard that its later Old Kingdom counterparts would follow. A unique feature of Khafre’s complex is the inclusion of a colossal statue beside his valley temple the Great Sphinx. The valley temple is made of massive limestone blocks encased in granite, floors made of alabaster, and its wide hall features monolithic granite pillars.      
The symmetrically arranged niches along the walls of the hall once accommodated statues of the king, some of which are currently on display in the Egyptian Museum. One of these, the famous granodiorite statue of Khafre with Horus as a falcon perched behind his head, is widely considered one of the masterpieces of ancient Egyptian art.",Not Available,Not Available,Free
The Great Sphinx,Giza Plateau,"Colossal statues are one of the hallmarks of ancient Egyptian civilization, and the Great Sphinx of Giza is the most famous. It was carved directly out of the bedrock during the 4th Dynasty (c.2613–2494 BC), which also makes it the oldest. Ancient Egyptian sphinxes represented the king with the body of a lion, in a clear demonstration of his power.
The evidence points to the Great Sphinx having been carved during the reign of Khafre (Khefren to the ancient Greeks; c.2558–2532 BC), the builder of the second of the Giza pyramids. The Great Sphinx and the temple in front of it, called the Sphinx Temple, lie directly next to Khafre’s valley temple and the lower portion of the causeway leading up to his mortuary temple and pyramid. Careful archaeological analysis has revealed that the valley temple was finished before work was begun on the Great Sphinx and its temple. Analysis of the Great Sphinx’s facial features has also revealed striking similarities with those of Khafre’s statues.
 The Great Sphinx has captured the imagination of travelers and explorers for millennia, even in ancient Egyptian times. During the 18th Dynasty (c.1550–1295 BC), it came to be seen as a manifestation of the sun god, and was called Horemakhet “Horus in the Horizon”. King Amenhotep II (c.1427–1400 BC) built a temple next to the Sphinx, which he dedicated to this god. His son, Thutmose IV (c.1400–1390 BC), erected a monumental stela between its front paws, called the Dream Stela, on which he recorded a fascinating event.",Not Available,Not Available,Private visits only plus site opening fees
Pyramid Complex of Menkaure,Giza Plateau,"Menkaure (Mykerinos to the ancient Greeks; c.2532–2503 BC) is the builder of the third of the three large Giza Pyramids. He was most likely the son of Khafre (Khefren), and grandson of Khufu (Cheops). With a base area that is less than a quarter of their pyramids’, and with an original height of 65 meters, Menkaure’s is by far the smallest of the three. This reduction in size is due to several factors, including the limited amount of space left on the Giza Plateau. The material used for the outer casing of Menkaure’s pyramid is another. Whereas his predecessors had used limestone for this purpose, Menkaure employed granite, which was quarried in Aswan, over 800 km away. In addition to the logistics involved in transportation of the granite blocks, the material itself is much harder than limestone. However, only the bottom quarter of the casing stones are made of granite however, the rest being limestone.
Like the Great Pyramid, three smaller pyramids can be seen next to Menkaure’s as well, which were used for the burials of his queens. No satellite pyramid has been discovered, however, but it is believed that the largest of the three queens’ pyramids was in fact originally intended to have been the satellite pyramid.
 Menkaure died before his pyramid complex was completed, and much of the pyramid’s granite casing blocks were not smoothed. His mortuary and valley temples were intended to consist of colossal limestone blocks encased in granite, but were actually completed with whitewashed mud brick. Despite this, however, the mortuary cult of Menkaure was practiced for another 300 years after his death.",07:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 280/ Students: EGP 140
AREA ENTRY TICKET REQUIRED

EGYPTIANS:
Adult: EGP 30 / Students: EGP 10
AREA ENTRY TICKET REQUIRED"
Tomb of Khufukhaf I,Giza Plateau,"The mastaba tomb of Khufukhaf I is located in the Eastern Cemetery of the complex of the Great Pyramid of king Khufu (c.2589–2566 BC) at Giza. This cemetery was reserved for the closest relatives of the king, and contains some of the largest mastabas on the Giza Plateau. The term mastaba (Arabic for “bench”) refers to a type of funerary structure that was generally rectangular in shape and built over the tomb proper, which was underground. The mastaba of Khufukhaf I includes two burial shafts, one for him, and another for his wife, Neferetkau.
The chapel of Khufukhaf I, inside the mastaba, where his funerary cult was conducted, is very well preserved. Many beautiful scenes survive that show him and his wife receiving a wide variety of offerings, which they would both need in the afterlife.
A scene in the chapel depicts him holding his mother’s hand. The hieroglyphic inscriptions beside her reveal that she was the mother of a king, but her name is missing. It is thought that this is Henutsen, one of Khufu’s wives, who is believed to have been buried in one of the three queens’ pyramids next-door. The inscriptions in Khufukhaf I’s mastaba also identify him as a vizier, the highest-ranking official in ancient Egyptian administration. As a vizier and the son of a queen, there is no doubt that Khufukhaf I was one of the most powerful people in the kingdom during his lifetime.",07:00 AM,05:00 PM,Free
Workers’ Town and Cemetery,Giza Plateau,"The remains of a large settlement site, known as Heit al-Ghurab, were discovered in the southeastern area of the Giza Plateau. This was where the workers who built the pyramid complexes of Khafre (c.2558–2532 BC) and Menkaure (c.2532–2503 BC) lived. The tantalizing  remains of an even older settlement underneath may date to Khufu’s reign (c.2589–2566 BC). Houses, magazines, three main streets, and a royal administrative building were discovered within the city walls, as were four huge galleries. These may have been the barracks in which the workers who built the pyramids slept and prepared their food. An enormous amount of fish, bird, cattle, sheep, goat, and pig bones were found, revealing that the state ensured that the workers were in good health so they could fulfill their physically demanding responsibilities.
On the hillside immediately to the west of Heit al-Ghurab is the town’s cemetery. Low-ranking overseers of workmen were buried in modest mastabas on the low slopes of the hill, surrounded by even smaller mastaba or domed tombs, possibly those of their extended families and the workers they supervised. These were largely built of mudbrick, whereas the higher-ranking overseers and skilled craftsmen were buried in large stone mastabas higher up the slope. Among these is the beautifully decorated tomb of the overseer of linen, the overseer of the royal house of purification, Nefertheith. The majority of the bodies discovered show evidence of hard physical labor, many even featuring broken bones. Most of these had healed correctly, however, indicating that, in addition to being well-fed, the workers also received very good medical care.",07:00 AM,05:00 PM,"FOREIGNERS: EGP 700
AREA ENTRY TICKET REQUIRED

EGYPTIANS: EGP 350
AREA ENTRY TICKET REQUIRED"
Eastern and Western Cemeteries,Giza Plateau,"Two of the largest preserved Old Kingdom cemeteries form a part of the pyramid complex of king Khufu (c.2589–2566 BC) in Giza. Called the Eastern and Western Cemeteries after their positions relative to the Great Pyramid, they include the tombs of members of the royal family and the highest-ranking nobles. As such, they contain some of the most beautiful tomb decorations from this period.
The cemeteries consist mostly of mastabas, but rock-cut tombs are attested as well. The term mastaba (Arabic for “bench”) refers to a type of funerary structure that was generally rectangular in shape and built over the tomb proper, which was underground. Most of the mastabas of the Eastern and Western Cemeteries were built during the reign of Khufu, in tandem with his pyramid complex, whereas the rock-cut tombs were for the most part built later.
Most of the tombs of the Eastern Cemetery dating to the reign of Khufu were intended for his closest relatives. The rock-cut tomb of his mother, queen Hetepheres I, along with her funerary equipment, was discovered here, and it is the site of the mastaba of his half-brother Ankh-haf, who had an important administrative position in the construction of the Great Pyramid. On the other hand, the mastabas of the Western Cemetery, which are mostly arranged in an orderly grid, were reserved for very high-ranking noblemen that were not as closely related to the king. Among them is the monumental mastaba of Hemiunu, who oversaw the building of the Great Pyramid.",07:00 AM,05:00 PM,Free
Tomb of Queen Meresankh III,Giza Plateau,"Under the shadow of the Great Pyramid lies the mastaba of Queen Meresankh III, the wife of Khafre and granddaughter of Khufu. Both very large and exquisitely decorated, this is indeed a tomb worthy of her rank and fortunately also contains the best preserved wall reliefs in the Eastern Cemetery.
These are decorated with a diverse array of scenes, including bread baking, beer brewing, fowling, herding, mat making, metal smelting, and the sculpting of statues, apparently of Meresankh herself. These, along with the elaborate scenes of offering-bearers bringing all sorts of gifts to Meresankh, were intended to magically provide her soul with a continuous stream of food and goods in the afterlife. Interestingly, among the objects being brought to her are a canopy with a bed being set up within it, an armchair, and a carrying chair. Actual examples of very similar objects were discovered in the tomb of Hetepheres I, the mother of Kufu, and can be seen today at the Egyptian Museum in Cairo.
Among the most striking features of Meresankh’s tomb chapel is a series of ten large statues of women that are carved out of the northern wall. It is believed that they represent, in addition to Meresankh herself, her mother, and daughters as well.",07:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 200/ Student: EGP 100
AREA ENTRY TICKET REQUIRED

EGYPTIANS:
Adult: EGP 20 / Student: EGP 5
AREA ENTRY TICKET REQUIRED"
The Step Pyramid Complex of Djoser,Saqqara,"Djoser’s Step Pyramid in Saqqara is one of Egypt’s most iconic monuments—and rightfully so. It constitutes a significant historical turning point in ancient Egyptian funerary monuments, revolutionizing stone architecture and royal burials. In addition to its beauty and monumental scale, it is not only the very first pyramid that the ancient Egyptians ever built, but also the oldest known ancient Egyptian stone structure.
The sheer age of the Step Pyramid is astounding. It was built in the early Third Dynasty, during the reign of King Netjerykhet (c.2667–2648 BC), who is now more well-known as Djoser.
Before his reign, royal and elite Egyptians were buried in mastabas. This word, meaning “bench” in Arabic, refers to a type of funerary structure that was generally rectangular in shape and built over the tomb proper, which was underground. The Step Pyramid is composed of six stacked mastabas, thus creating the stepped effect. Imhotep, its architect, may very well have been responsible for this major innovation.
At one end of the pyramid complex, a structure known as the South Tomb is believed to have acted as an additional, symbolic, tomb for Djoser, perhaps reflecting his role as the dual king of both Upper and Lower Egypt.
Djoser’s pyramid complex also has some unique features. The two courts in front of the pyramid recreate the setting of the Sed Festival, a royal ceremony aimed at rejuvenating the king and regenerating his power. The structures on the side of the eastern court emulate in stone the ephemeral shrines that were used in this festival, thus ensuring that the king could continue being rejuvenated forever.",08:00 AM,05:00 PM,"FOREIGNERS:
- Pyramid of Djoser:
Adult: EGP 150 / Student: EGP 75

EGYPTIANS:
- Pyramid of Djoser:
Adult: EGP 40 / Student: EGP 20"
