hotel_ar,hotel_en,governorate,city,rating
مارشال الجزيرة,MARSHAL EL GEZIRAH HOTEL,,المنصورة,
الجامعه المنصوره,MANSOURA UNIVERSITY HOTEL,,المنصورة,
نيو بالاس (قنا),NEW PALACE HOTEL,قنا,,
بسمه (قنا),BASMA HOTEL,قنا,,
مخيم الرزيقى,REZEIKY CAMP,الأقصر,الأقصر,
قديس,GADDIS HOTEL,الأقصر,الأقصر,
سوسنا,SUSANNA HOTEL,الأقصر,الأقصر,
صن ست,SUN SET HOTEL,الأقصر,الأقصر,
سان جوزيف,ST.JOSEPH HOTEL,الأقصر,الأقصر,
شادى,SHADY HOTEL,الأقصر,الأقصر,
فيليب,PHILIPPE HOTEL,الأقصر,الأقصر,
نيو سانت كاترين,NEW SAINT CATHEIRNE HOTEL,الأقصر,الأقصر,
ميريلاند,MERRYLAND HOTEL,الأقصر,الأقصر,
الكرنك,KARNAK HOTEL,الأقصر,الأقصر,
اربيسك,ARABESQUE HOTEL,الأقصر,الأقصر,
رويال هاوس,ROYAL HOUSE HOTEL,الأقصر,الأقصر,
كوينز فالى,QUEENS VALLEY HOTEL,الأقصر,الأقصر,
نيو بولا,NEW POLA HOTEL,الأقصر,الأقصر,
موريس,MORRIS HOTEL,الأقصر,الأقصر,
اميليو,EMILIO HOTEL,الأقصر,الأقصر,
الجزيره جاردن,EL GEZIRA GARDENS HOTEL,الأقصر,الأقصر,
ابروتيل الاقصر,IBEROTEL LUXOR HOTEL,الأقصر,الأقصر,
ايزيس,ISIS LUXOR HOTEL,الأقصر,الأقصر,
إيتاب الأقصر,EATABE LUXOR HOTEL,الأقصر,الأقصر,
المديرة,AL MOUDIRA HOTEL,الأقصر,الأقصر,
شتايجنبرجرنايل بالاس,STEIGENBERGER NILE PALACE HOTEL,الأقصر,الأقصر,
شتايجنبرجر ريزورت اشتى الاقصر,STEIGENBERGER ACHTI LUXOR RESORT,الأقصر,الأقصر,
سونستا سان جورج,SONESTA ST. GEORGE HOTEL LUXOR,الأقصر,الأقصر,
ميركيور الكرنك,MERCURE LUXOR KARNAK RESORT,الأقصر,الأقصر,
جولى فيل,JOLIE VILLE RESORT,الأقصر,الأقصر,
ونتر بالاس الاقصر,Winter Palace Hotel - Heritage,الأقصر,الأقصر,
هيلتون الاقصر,HILTON LUXOR HOTEL & SPA,الأقصر,الأقصر,
الواحة,OASIS MOTEL,الفيوم,الفيوم,
هنى داى,HONEY DAY HOTEL,الفيوم,الفيوم,
نيو بانوراما شكشوك,NEW PANORAMA SHAKSHOUK,الفيوم,,
هلنان اوبرج الفيوم,HELNAN AUBERGE HOTEL,الفيوم,,
لازيب,LAZIB BOUTIQUE,الفيوم,,
ميركيور الاسماعيلية,MERCURE ISMAILIA HOTEL,,الاسماعليه,
سيكس كورنرز,SIX CORNERS HOTEL,,فايد,
شموسة,SHAMOUSSA HOTEL,,فايد,
بالما أبو سلطان,PALMA ABU SULTAN VILLAGE,,فايد,
بونيتا,BONITA VILLAGE,,فايد,
المرجان,EL MORGAN HOTEL,,فايد,
مخيم طابونة,TABYNEH CAMP,الوادي الجديد,الوادى الجديد,
رضوان - الخارجة,RADWAN HOTEL,الوادي الجديد,الوادى الجديد,
الفرسان - الداخلة,EL FORSAN HOTEL,الوادي الجديد,الوادى الجديد,
اكوا صن الفرافرة,AQUA SUN FARAFRA,الوادي الجديد,الوادى الجديد,
مبارز,MEBAREZ TOURIST HOTEL,الوادي الجديد,الوادى الجديد,
حمد الله السياحي,HAMADALLA HOTEL,الوادي الجديد,الوادى الجديد,
الخارجة,EL KHARGA HOTEL,الوادي الجديد,الوادى الجديد,
قرية البدو,BEDOUIN VILLAGE,الوادي الجديد,الوادى الجديد,
ديزرت لودج,DESERT LODGE HOTEL,الوادي الجديد,الوادى الجديد,
البدوية الفرافرة,BADAWIYA HOTEL FARAFRA,الوادي الجديد,الوادى الجديد,
البدوية الداخلة,BADAWIYA HOTEL DAKHLA,الوادي الجديد,الوادى الجديد,
الرواد,PIONEERS HOTEL,الوادي الجديد,الوادى الجديد,
لودج الطرفة,AL TARFA LODGE HOTEL,الوادي الجديد,الوادى الجديد,
الشاطى الجديد,EL SHATEE EL GADEED HOTEL,دمياط,راس البر,
المبشر,EL MOBASHER HOTEL,دمياط,راس البر,
الامام,EL EMAM HOTEL,دمياط,راس البر,
الالفى,AL ALFI TOURISTIC HOTEL,دمياط,راس البر,
ابو طبل,ABU TABL HOTEL,دمياط,راس البر,
جراند راس البر,GRAND RAS EL BAR HOTEL,دمياط,راس البر,
جرين هاوس,GREEN HOUSE HOTEL,دمياط,راس البر,
السلام,EL SALAM HOTEL,دمياط,راس البر,
المدينه المنورة,EL MADINA EL MONAWARA HOTEL,دمياط,راس البر,
بوريفاج,BEAU RIVAGE HOTEL,دمياط,راس البر,
طيبة,TIBA HOTEL,دمياط,راس البر,
عمر الخيام,OMAR EL KHAIAM HOTEL,دمياط,راس البر,
دولفين ان,DOLPHIN INN HOTEL,دمياط,راس البر,
دولفين ان,DOLPHIN INN HOTEL,دمياط,راس البر,
شتايجنبرجر اللسان,STEIGENBERGER EL LESSAN HOTEL,دمياط,راس البر,
سليمان,SOLIMAN HOTEL,دمياط,دمياط,
لامار,LAMAR HOTEL,دمياط,,
سميراميس بني سويف,SEMIRAMIS HOTEL,بني سويف,بنى سويف,
النهر,EL NAHR HOTEL,العاصمة الإدارية,اسيوط,
اخناتون,AKHENATEN HOTEL,العاصمة الإدارية,اسيوط,
ريم,REEM HOTEL,العاصمة الإدارية,اسيوط,
بدر,BADR HOTEL,العاصمة الإدارية,اسيوط,
اسيوتيل,ASSIUTEL HOTEL,العاصمة الإدارية,اسيوط,
الوطنية بالاس,AL WATANIA PALACE HOTEL,العاصمة الإدارية,اسيوط,
سينا بيتش,SINAI BEACH HOTEL,شمال سيناء,العريش,
بالم بلازا,PALM PLAZA VILLAGE,شمال سيناء,العريش,
مكة,MECCA HOTEL,شمال سيناء,العريش,
سينا صن,SINAI SUN HOTEL,شمال سيناء,العريش,
منتجع العريش - سويس ان,EL ARISH RESORT,شمال سيناء,العريش,
كورال بيتش,CORAL BEACH AL ARISH,شمال سيناء,العريش,
رمسيس,RAMSIS HOTEL,الأسكندرية,الاسكندرية,
نيو كابرى,NEW CAPRI HOTEL,الأسكندرية,الاسكندرية,
هوليداى,HOLIDAY HOTEL,الأسكندرية,الاسكندرية,
جرين بلازا ان,GREEN PLAZA INN HOTEL,الأسكندرية,الاسكندرية,
يونيون,UNION HOTEL,الأسكندرية,الاسكندرية,
سى ستار,SEA STAR HOTEL,الأسكندرية,الاسكندرية,
ريجنسى,REGENCY HOTEL,الأسكندرية,الاسكندرية,
مكة,MECCA HOTEL,الأسكندرية,الاسكندرية,
مرحبا,MARHABA HOTEL,الأسكندرية,الاسكندرية,
المعمورة بالاس,MAMURA PALACE HOTEL,الأسكندرية,الاسكندرية,
اللؤلؤة,PEARL HOTEL,الأسكندرية,الاسكندرية,
موتيل كينج ماريوط,KING MARIOUT MOTEL,الأسكندرية,الاسكندرية,
جدة,JEDDAH HOTEL,الأسكندرية,الاسكندرية,
المدينة المنورة,EL MADINA EL MONAWARA HOTEL,الأسكندرية,الاسكندرية,
الحرم,EL HARAM HOTEL,الأسكندرية,الاسكندرية,
سان جيوفانى,SAN GIOVANNI HOTEL,الأسكندرية,الاسكندرية,
باناسيا,PANACEA HOTEL,الأسكندرية,الاسكندرية,
لاجون,LAGOON HOTEL,الأسكندرية,الاسكندرية,
قاعود,KAOUD SPORTING HOTEL,الأسكندرية,الاسكندرية,
دلتا,DELTA HOTEL,الأسكندرية,الاسكندرية,
امون,AMOUN HOTEL,الأسكندرية,الاسكندرية,
ايفو هورايزون,AIFU HORIZON RESORT,الأسكندرية,الاسكندرية,
ادهم كومباوند,ADHAM COMPOUND,الأسكندرية,الاسكندرية,
شتايجنبرجر سيسل,STEIGENBERGER CECIL HOTEL,الأسكندرية,الاسكندرية,
شيراتون المنتزة,SHERATON MONTAZAH HOTEL,الأسكندرية,الاسكندرية,
رومانس كورنيش الاسكندرية,Romance Corniche Alexandria (Eatabe),الأسكندرية,الاسكندرية,
بلازا,PLAZA HOTEL,الأسكندرية,الاسكندرية,
بارادايس ان وندسور بالاس,PARADISE INN WINDSOR HOTEL,الأسكندرية,الاسكندرية,
بارادايس ان متروبول,PARADISE INN METROPOLE HOTEL,الأسكندرية,الاسكندرية,
بارادايس ان بيتش المعمورة,PARADISE INN BEACH RESORT MAMOURA,الأسكندرية,الاسكندرية,
افريكانا,AFRICANA HOTEL,الأسكندرية,الاسكندرية,
سان رايز اليكس افينو هوتيل,SUNRISE ALEX AVENUE HOTEL,الأسكندرية,الاسكندرية,
راديسون بلو الاسكندرية,RADISSON BLU HOTEL ALEXANDRIA,الأسكندرية,الاسكندرية,
هلنان فلسطين,PALESTINE HOTEL,الأسكندرية,الاسكندرية,
ابروتيل برج العرب,IBEROTEL BORG EL ARAB RESORT,الأسكندرية,الاسكندرية,
هيلتون جرين بلازا,HILTON GREEN PLAZA HOTEL,الأسكندرية,الاسكندرية,
هيلتون كورنيش,HILTON CORNICHE ALEXANDRIA,الأسكندرية,الاسكندرية,
فور سيزون سان استيفانو,FOUR SEASONS SAN STEFANO,الأسكندرية,الاسكندرية,
قصر السلاملك,EL-SALAMLEK PALACE HOTEL & CASINO,الأسكندرية,الاسكندرية,
كينج رانش,KING'S RANCH HOTEL,الأسكندرية,الاسكندرية,
بيت التراث النوبى - اسكالية,"NUBIAN TRADITIONAL HOUSE "" ESKALEH""",أسوان,ابو سمبل,
سارة,SARA HOTEL,أسوان,ابو سمبل,
اوسكار,OSCAR HOTEL,أسوان,ابو سمبل,
اناكاتو,ANAKATO HOTEL,أسوان,ابو سمبل,
نادى التطبيقيين,APPLICATORS HOTEL,أسوان,اسوان,
اوبلسك نايل اوتيل,OBELISK NILE HOTEL,أسوان,اسوان,
مرحبا,MARHABA HOTEL,أسوان,اسوان,
كليوباترا,CLEOPATRA HOTEL,أسوان,اسوان,
بسمة أسوان,BASMA HOTEL,أسوان,اسوان,
سيتى ابو سمبل,SETI ABU SIMBEL HOTEL,أسوان,اسوان,
نفرتارى ابو سمبل,NEFERTARI HOTEL,أسوان,اسوان,
جزيرة ايزيس,ISIS ISLAND HOTEL,أسوان,اسوان,
كتراكت الجديد,NEW CATARACT Hotel,أسوان,اسوان,
موفنبيك أسوان,MOVENPICK ASWAN,أسوان,اسوان,
قرية امون,AMOUN VILLAGE,أسوان,اسوان,
طيبة,TIBA HOTEL,أسوان,اسوان,
سيتى ماكس,CITY MAX,أسوان,اسوان,
كتراكت القديم,Old Cataract Hotel - Heritage,أسوان,اسوان,
الفاندوم,Vendome HOTEL,الجيزة,الجيزة,
التونسى,Tonsy HOTEL,الجيزة,الجيزة,
سقارة كانترى كلوب,SAKKARA COUNTRY CLUB & HOTEL,الجيزة,الجيزة,
روز,ROSE HOTEL,الجيزة,الجيزة,
مينا بالاس,MENA PALACE HOTEL,الجيزة,الجيزة,
كينو,KINOW HOTEL,الجيزة,الجيزة,
دريمرز,DREAMERS HOTEL,الجيزة,الجيزة,
أبو الهول,ABULHOAL HOTEL,الجيزة,الجيزة,
زايد,ZAYED HOTEL,الجيزة,الجيزة,
طيبة بيراميدز,TIBA PYRAMIDS HOTEL,الجيزة,الجيزة,
اورا ان,URA IN,الجيزة,الجيزة,
ستاى ان ان,STAY INN HOTEL (Caroline Crillon),الجيزة,الجيزة,
سان جورج,ST. GEORGE HOTEL,الجيزة,الجيزة,
سانتانا,SANTANA HOTEL,الجيزة,الجيزة,
سلمى,SALMA HOTEL,الجيزة,الجيزة,
فيروجت,PHARAOH EGYPT HOTEL,الجيزة,الجيزة,
نوران,NORAN HOTEL,الجيزة,الجيزة,
مايوركا,MAYORCA HOTEL,الجيزة,الجيزة,
حور محب,HORMOHEB HOTEL,الجيزة,الجيزة,
هوليداى اكسبريس,HOLIDAY EXPRESS HOTEL,الجيزة,الجيزة,
المنار,EL MANAR HOTEL,الجيزة,الجيزة,
كونكورد,CONCORDE HOTEL,الجيزة,الجيزة,
كايرو كمودور,CAIRO COMODOR HOTEL,الجيزة,الجيزة,
رويال داى,ROYAL DAY HOTEL,الجيزة,الجيزة,
ارورا ان,ARORA INN,الجيزة,الجيزة,
صن رايز - إدارة كتراكت,SUN RISE - Cataract Management,الجيزة,الجيزة,
سولكس انترناشونال,SOLUXE INTERNATIONAL HOTEL,الجيزة,الجيزة,
جولف سلمانية,SOLAIMANEYAH GOLF RESORT,الجيزة,الجيزة,
شهر زاد,SHEHERAZADE HOTEL,الجيزة,الجيزة,
بيراميدز,PYRAMIDS HOTEL,الجيزة,الجيزة,
الفراعنة,PHARAOHS HOTEL,الجيزة,الجيزة,
بالم كلوب,PALM CLUB,الجيزة,الجيزة,
نيو مروة,NEW MARWA HOTEL,الجيزة,الجيزة,
مروة بالاس,MARWA PALACE HOTEL,الجيزة,الجيزة,
كينج,KING HOTEL,الجيزة,الجيزة,
ستاى ان بيراميدز,Stay Inn Pyramids hotel,الجيزة,الجيزة,
كانزى,KANZY HOTEL,الجيزة,الجيزة,
انديانا,INDIANA HOTEL,الجيزة,الجيزة,
هافانا,HAVANA HOTEL,الجيزة,الجيزة,
جراند بيراميدز,GRAND PYRAMIDS HOTEL,الجيزة,الجيزة,
جوهرة الاهرام,GAWHRAT AL AHRAM HOTEL,الجيزة,الجيزة,
امارنت بيراميدز,AMARANTE PYRAMIDS HOTEL,الجيزة,الجيزة,
الاهرامات الثلاثة,THREE PYRAMIDS HOTEL,الجيزة,الجيزة,
الواحة,THE OASIS HOTEL,الجيزة,الجيزة,
سويس ان بيراميدز جولف ريزورت 6أكتوبر,SWISS INN PYRAMIDS GOLF RESORT,الجيزة,الجيزة,
بيراميدز بارك,PYRAMIDS PARK HOTEL,الجيزة,الجيزة,
نوفيتيل 6 أكتوبر,Novotel Cairo 6th of October,الجيزة,الجيزة,
ميركيور سفنكس,MERCURE LE SPHINX HOTEL,الجيزة,الجيزة,
جولدن ان,GOLDEN INN HOTEL,الجيزة,الجيزة,
النبيلة كايرو,AL NABILA CAIRO HOTEL,الجيزة,الجيزة,
شتايجنبرجر بيراميدز كايرو,STEIGENBERGER PYRAMIDS CAIRO,الجيزة,الجيزة,
شيراتون القاهرة,SHERATON CAIRO HOTEL,الجيزة,الجيزة,
سفير القاهرة,SAFIR CAIRO HOTEL,الجيزة,الجيزة,
بيرميزا القاهرة,PYRAMISA Cairo HOTEL,الجيزة,الجيزة,
موفنبيك 6 أكتوبر,MOVENPICK 6th OF OCTOBER CITY,الجيزة,الجيزة,
ماريوت مينا هاوس,MARRIOTT MENA HOUSE HOTEL,الجيزة,الجيزة,
مريديان بيراميدز,LE MERIDIEN PYRAMIDS HOTEL,الجيزة,الجيزة,
هيلتون بيراميدز جولف ريزورت,HILTON PYRAMIDS GOLF RESORT,الجيزة,الجيزة,
هلنان دريم لاند للمؤتمرات,HELNAN DREAMLAND HOTEL,الجيزة,الجيزة,
فورسيزونز القاهرة,FOUR SEASONS HOTEL CAIRO,الجيزة,الجيزة,
حياه ريجنسى كايرو ويست,HYATT REGENCY CAIRO WEST,الجيزة,الجيزة,
كراون بلازا ويست كايرو,Crown Plaza West Cairo,الجيزة,الجيزة,
سفارى كامب,Safari Camp,الجيزة,الواحات البحرية,
بانوراما الواحة,Oasis Panorama Hotel,الجيزة,الواحات البحرية,
العين السخنة,Ain Sokhna Hotel,الجيزة,الواحات البحرية,
وادى النخيل,Palm Valley Hotel,الجيزة,الواحات البحرية,
سكاربية,SCARABEE HOTEL,القاهرة,القاهرة,
رضوان,RADWAN HOTEL,القاهرة,القاهرة,
نيتو كريس,NITOCRISSE HOTEL,القاهرة,القاهرة,
النيل زمالك,NILE ZAMALEK HOTEL,القاهرة,القاهرة,
نيو اوتيل,NEW HOTEL,القاهرة,القاهرة,
ماكسيم,MAXIM HOTEL,القاهرة,القاهرة,
اللوتس,LOTUS HOTEL,القاهرة,القاهرة,
حوريس,HORRIS HOTEL,القاهرة,القاهرة,
هوليداى هوم,HOLIDAY HOME HOTEL,القاهرة,القاهرة,
هليو كايرو,HELIO CAIRO HOTEL,القاهرة,القاهرة,
هابى دريمز,HAPPY DREAMS HOTEL,القاهرة,القاهرة,
جرين فالى,GREEN VALLEY HOTEL,القاهرة,القاهرة,
جولدن بارك,GOLDEN PARK HOTEL,القاهرة,القاهرة,
الحسين,EL HUSSEIN HOTEL,القاهرة,القاهرة,
عبيد هاوس,EBEID HOUSE HOTEL,القاهرة,القاهرة,
تشاو,CIAO HOTEL,القاهرة,القاهرة,
شانزليزية,CHAMPS ELYSEES HOTEL,القاهرة,القاهرة,
كابسيس بالاس,CAPSIS PALACE HOTEL,القاهرة,القاهرة,
امباسادور,AMBASSADOR HOTEL,القاهرة,القاهرة,
تيوليب,TULIP HOTEL,القاهرة,القاهرة,
تاليزمان,TALISMAN HOTEL,القاهرة,القاهرة,
بريذدنت,PRESIDENT HOTEL,القاهرة,القاهرة,
اميه,OMAYAD HOTEL,القاهرة,القاهرة,
اوديون بالاس,ODEON PALACE HOTEL,القاهرة,القاهرة,
اوازيس,OASIS HOTEL,القاهرة,القاهرة,
النيل جاردن,NILE GARDEN HOTEL,القاهرة,القاهرة,
نيو بريذدنت,NEW PRESIDENT HOTEL,القاهرة,القاهرة,
هورس هاوس,HORUS HOUSE HOTEL,القاهرة,القاهرة,
هليو بارك,HELIOPARK HOTEL,القاهرة,القاهرة,
هابيتون,HAPPYTON HOTEL,القاهرة,القاهرة,
جولدن كارفن,GOLDEN KARVIN HOTEL,القاهرة,القاهرة,
كليوباترا,CLEOPATRA HOTEL,القاهرة,القاهرة,
كارلتون,CARLTON HOTEL,القاهرة,القاهرة,
سيزار بالاس,CESAR'S PALACE HOTEL,القاهرة,القاهرة,
اطلس الاوبرا,ATLAS HOTEL,القاهرة,القاهرة,
العربى,ARABIA HOTEL,القاهرة,القاهرة,
الحرية,AL HORREYA HOTEL,القاهرة,القاهرة,
وندسور,WINDSOR HOTEL,القاهرة,القاهرة,
عربات النوم,SLEEPING TRAINS,القاهرة,القاهرة,
رويال مارشال,ROYAL MARSHAL HOTEL,القاهرة,القاهرة,
ريزادنس المعادى,RESIDENCE Maadi HOTEL,القاهرة,القاهرة,
لؤلؤة المعادى,Maadi PEARL HOTEL,القاهرة,القاهرة,
نوفيتيل البرج,Novotel Cairo El Borg Hotel,القاهرة,القاهرة,
المعادى,MAADI HOTEL,القاهرة,القاهرة,
لونشان,LONGCHAMPS HOTEL,القاهرة,القاهرة,
النيل كمبينسكى,KEMPINSKI NILE HOTEL,القاهرة,القاهرة,
هابى سيتى,HAPPY CITY HOTEL,القاهرة,القاهرة,
هامبورج,HAMBURG HOTEL,القاهرة,القاهرة,
جراند اوتيل,GRAND HOTEL,القاهرة,القاهرة,
فونتانا,FONTANA HOTEL,القاهرة,القاهرة,
الفيض الحاكمى,FAIZ- El- HAAKIMI HOTEL,القاهرة,القاهرة,
كايرو ريذدنس,""" CAIRO WORLD TRADE CENTER & residences """,القاهرة,القاهرة,
كايرو خان,CAIRO KHAN HOTEL,القاهرة,القاهرة,
بيروت,BEIRUT HOTEL,القاهرة,القاهرة,
ذا ويستن كايروجولف اند ريزورت اند سبا القطامية ديونز,The Westin Cairo Golf Katameya Dunes,القاهرة,القاهرة,
ستاى بريدج سويتس كايرو سيتى ستارز,STAYBRIDGE SUITES CAIRO-CITYSTARS,القاهرة,القاهرة,
رينسانس,RENAISSANCE CAIRO MIRAGE CITY HOTEL,القاهرة,القاهرة,
رمسيس هيلتون,RAMSES HILTON HOTEL,القاهرة,القاهرة,
راديسون بلو,RADISSON BLU HOTEL CAIRO HELIOPOLIS,القاهرة,القاهرة,
ام كلثوم,OM KOLTHOOM HOTEL,القاهرة,القاهرة,
نوفيتيل المطار,NOVOTEL CAIRO AIRPORT HOTEL,القاهرة,القاهرة,
مريديان هليوبوليس,LE MERIDIEN HELIOPOLIS HOTEL,القاهرة,القاهرة,
هيلتون زمالك ريذدانس,HILTON ZAMALEK RESIDENCE CAIRO HOTEL,القاهرة,القاهرة,
جراند نايل تاور,GRAND NILE TOWER HOTEL,القاهرة,القاهرة,
فلامنكو,FLAMENCO HOTEL,القاهرة,القاهرة,
البارون,BARON HOTEL HELIOPOLIS,القاهرة,القاهرة,
والدروف استوريا كايرو هليوبوليس,WALDORF ASTORIA CAIRO HELIOPOLIS,القاهرة,القاهرة,
النيل ريتز كارلتون,THE NILE RITZ- CARLTON CAIRO,القاهرة,القاهرة,
سونستا,SONESTA CAIRO HOTEL,القاهرة,القاهرة,
سوفتيل الجزيرة,SOFITEL EL GEZIRAH HOTEL,القاهرة,القاهرة,
رويال ماكسيم بالاس كامبنسكى,ROYAL MAXIM PALACE KEMPINSKI HOTEL,القاهرة,القاهرة,
لوباساج القاهرة,LE PASSAGE CAIRO HOTEL & CASINO,القاهرة,القاهرة,
ميرديان المطار,LE MERIDIEN CAIRO AIRPORT HOTEL,القاهرة,القاهرة,
جى دابليو ماربوت ميراج,J W MARRIOTT CAIRO HOTEL,القاهرة,القاهرة,
انتركونتننتال سيتى ستار,INTERCONTINENTAL CITYSTARS HOTEL,القاهرة,القاهرة,
سميراميس انتركونتننتال,INTERCONTINENTAL CAIRO SEMIRAMIS,القاهرة,القاهرة,
هوليداى ان سيتى ستار,HOLIDAY INN CAIRO CITYSTARS,القاهرة,القاهرة,
هوليداى ان اند سويتس القاهرة المعادى,Holiday Inn & Suites Cairo Maadi,القاهرة,القاهرة,
هيلتون القاهرة هليوبوليس,HILTON CAIRO HELIOPOLIS,القاهرة,القاهرة,
النيل بلازا (إدارة فوسيزون),FOUR SEASONS CAIRO AT NILE PLAZA,القاهرة,القاهرة,
فيرمونت نايل سيتى,FAIRMONT NILE CITY HOTEL,القاهرة,القاهرة,
دويست تانى ليك فيو,DUSIT THANI LAKE VIEW HOTEL,القاهرة,القاهرة,
كونراد القاهرة,CONRAD CAIRO HOTEL,القاهرة,القاهرة,
كونكورد السلام,CONCORDE EL SALAM HOTEL CAIRO,القاهرة,القاهرة,
ماريوت القاهرة,CAIRO MARRIOTT HOTEL,القاهرة,القاهرة,
سانت ريجس,The St. Regis Cairo,القاهرة,القاهرة,
صن سيتى,SUN CITY HOTEL,القاهرة,القاهرة,
بوتيك اوتيل بيل ايبوك,BOUTIQUE HOTEL BELLE EPOQUE,القاهرة,القاهرة,
امين,AMIN HOTEL,القاهرة,القاهرة,
ماريوت الغردقة,HURGHADA MARRIOTT HOTEL,البحر الأحمر,الغردقة,
